deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size	full_grand_mean	full_grand_mean_lb	full_grand_mean_ub	full_sample_size_for_rma_calc
0.26	-0.118150391030943	-0.175169568733013	-0.061131213328873	360	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.26	-0.111475605142339	-0.166266689673845	-0.0566845206108336	360	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.27	-0.121239789055348	-0.181410454566014	-0.061069123544683	356	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.27	-0.141819819315124	-0.198925491690921	-0.084714146939326	356	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.28	-0.107308659916441	-0.159128138281634	-0.0554891815512481	351	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.28	-0.0975984004479249	-0.144234555853458	-0.050962245042392	351	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.29	-0.0957386095448737	-0.146536588207802	-0.0449406308819452	346	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.29	-0.0976731546117544	-0.154722287987247	-0.0406240212362623	346	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.3	-0.0984313738587886	-0.149858773898828	-0.0470039738187492	341	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.3	-0.0566765387289829	-0.103532251727295	-0.00982082573067115	341	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.31	-0.110540392821572	-0.168372962355402	-0.0527078232877421	336	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.31	-0.122096176376961	-0.183190034675516	-0.0610023180784066	336	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.32	-0.117647237763068	-0.170025983195366	-0.065268492330771	331	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.32	-0.107228566667806	-0.165297940477522	-0.0491591928580888	331	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.33	-0.101301071198603	-0.152900684130568	-0.0497014582666394	326	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.33	-0.129400509882845	-0.191205999819598	-0.067595019946092	326	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.34	-0.119944990193643	-0.181542123841511	-0.0583478565457739	321	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.34	-0.136152440516193	-0.200010997740338	-0.0722938832920468	321	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.35	-0.125332940204511	-0.186169345453869	-0.0644965349551534	317	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.35	-0.115101792806818	-0.174338899144097	-0.0558646864695388	317	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.36	-0.122619627489988	-0.183205290390329	-0.0620339645896462	312	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.36	-0.112440577465221	-0.165698319956179	-0.0591828349742618	312	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.37	-0.0786730320222942	-0.136167607262739	-0.0211784567818498	307	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.37	-0.0838255367655914	-0.139399690154062	-0.0282513833771203	307	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.38	-0.0860408833862084	-0.139694127389509	-0.0323876393829077	302	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.38	-0.109768395799135	-0.161442377318224	-0.0580944142800461	302	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.39	-0.111098661592352	-0.173064157947125	-0.0491331652375802	297	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.39	-0.136300283078443	-0.203776360537178	-0.0688242056197073	297	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.4	-0.125277641588714	-0.189782046032519	-0.0607732371449094	292	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.4	-0.0540536540208889	-0.101106299749436	-0.00700100829234139	292	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.41	-0.112906809816618	-0.179342119265843	-0.0464715003673926	287	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.41	-0.137562610256114	-0.203614369529623	-0.0715108509826058	287	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.42	-0.0883186396932711	-0.14282061620818	-0.0338166631783619	282	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.42	-0.115540005426585	-0.171199918886901	-0.0598800919662699	282	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.43	-0.0760601749525943	-0.128360970846367	-0.0237593790588217	278	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.43	-0.0926255125523971	-0.159436074453973	-0.0258149506508209	278	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.44	-0.0786806207814269	-0.130411585574061	-0.0269496559887924	273	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.44	-0.123510116929233	-0.1945702248705	-0.0524500089879669	273	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.45	-0.0691553152993187	-0.123280469165521	-0.0150301614331166	268	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.45	-0.109321283115217	-0.181311172582443	-0.0373313936479905	268	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.46	-0.1056323798928	-0.159411162687938	-0.0518535970976625	263	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.46	-0.075354914799729	-0.13109680905034	-0.0196130205491182	263	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.47	-0.106253188277958	-0.178360410331251	-0.0341459662246654	258	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.47	-0.105404736872084	-0.173208285458889	-0.0376011882852795	258	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.48	-0.0741529086083695	-0.134665614212216	-0.0136402030045227	253	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.48	-0.149042728138291	-0.227010494810378	-0.0710749614662047	253	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.49	-0.10399544417765	-0.160831525149809	-0.0471593632054902	248	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.49	-0.128734549489422	-0.203718107645043	-0.0537509913338014	248	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.5	-0.074674489170779	-0.143142199310675	-0.00620677903088321	243	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.5	-0.0810301991570733	-0.140095572805502	-0.0219648255086445	243	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.51	-0.0871109461490207	-0.145027860886204	-0.0291940314118373	239	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.51	-0.105463149827789	-0.182390427046518	-0.0285358726090607	239	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.52	-0.0804524494720782	-0.139154624076297	-0.0217502748678598	234	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.52	-0.120641139994273	-0.179626666152638	-0.0616556138359077	234	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.53	-0.109941608133279	-0.18404645381851	-0.0358367624480489	229	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.53	-0.132004798157188	-0.207427866811836	-0.056581729502541	229	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.54	-0.0614731600750941	-0.116830896468556	-0.00611542368163262	224	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.54	-0.0732350383167669	-0.147421132414686	0.000951055781151761	224	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.55	-0.121196954540179	-0.199444671750829	-0.0429492373295285	219	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.55	-0.134165792908112	-0.208716155246149	-0.0596154305700748	219	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.56	-0.146855934655	-0.225045133098508	-0.0686667362114916	214	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.56	-0.0886820126734981	-0.16676513755262	-0.0105988877943761	214	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.57	-0.131255367636916	-0.21712668212076	-0.0453840531530718	209	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.57	-0.112119050178714	-0.194784879553493	-0.0294532208039346	209	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.58	-0.122229628902996	-0.203474856250503	-0.0409844015554899	205	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.58	-0.124916621524147	-0.208967988559134	-0.0408652544891596	205	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.59	-0.0892082088843463	-0.151109020274479	-0.0273073974942138	200	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.59	-0.116455782661488	-0.196358006691316	-0.036553558631659	200	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.6	-0.10821918148185	-0.189225472643621	-0.0272128903200795	195	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.6	-0.116093594773566	-0.203971526688546	-0.0282156628585864	195	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.61	-0.111015746241577	-0.183299873035834	-0.0387316194473204	190	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.61	-0.0872359633241321	-0.155247764573719	-0.0192241620745451	190	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.62	-0.0724364176472166	-0.128889947514553	-0.0159828877798807	185	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.62	-0.122087978143621	-0.193517644421415	-0.0506583118658267	185	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.63	-0.118736307230392	-0.206765893073522	-0.0307067213872619	180	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.63	-0.0770228917605284	-0.143149791440414	-0.0108959920806424	180	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.64	-0.147719418037492	-0.238196464853813	-0.0572423712211721	175	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.64	-0.0810152863482541	-0.149745939913672	-0.0122846327828365	175	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.65	-0.0553344513000548	-0.121587499418597	0.010918596818487	170	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.65	-0.0925672121584456	-0.163385308930732	-0.0217491153861595	170	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.66	-0.0926072597603765	-0.159690737823323	-0.0255237816974297	166	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.66	-0.0734806168414225	-0.147724640584542	0.000763406901697045	166	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.67	-0.0959726621152626	-0.172164989215827	-0.0197803350146987	161	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.67	-0.111627993699826	-0.183615427385798	-0.0396405600138546	161	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.68	-0.114229757135236	-0.191885709526971	-0.0365738047435016	156	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.68	-0.0525857927157987	-0.122561298731229	0.0173897132996314	156	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.69	-0.100804287453145	-0.181782070893946	-0.0198265040123454	151	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.69	-0.144456311499025	-0.242515649363144	-0.0463969736349056	151	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.7	-0.102427389331908	-0.192895270581826	-0.0119595080819907	146	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.7	-0.14274161488052	-0.249218641826297	-0.0362645879347441	146	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.71	-0.0459517384837708	-0.12059634154381	0.0286928645762685	141	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.71	-0.122663756078203	-0.229497452354352	-0.0158300598020542	141	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.72	-0.0549749120886311	-0.128738672857945	0.0187888486806832	136	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.72	-0.0738063475377568	-0.157983418410476	0.0103707233349619	136	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.73	-0.0969279267880039	-0.165724944152877	-0.0281309094231305	131	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.73	-0.0840954873948261	-0.19112969277907	0.0229387179894176	131	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.74	-0.0643229966815714	-0.133116603953114	0.00447061058997084	127	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.74	-0.0975574390960074	-0.184083855456706	-0.0110310227353084	127	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.75	-0.205086277080167	-0.330250185557456	-0.0799223686028792	122	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.75	-0.135177136239212	-0.251310166247655	-0.0190441062307686	122	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.76	-0.157961052187586	-0.284216197894879	-0.0317059064802941	117	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.76	-0.133465770522779	-0.212179793105206	-0.0547517479403526	117	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.77	-0.126226004944106	-0.1998736712288	-0.0525783386594114	112	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.77	-0.221198590607443	-0.353534968432806	-0.0888622127820793	112	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.78	-0.115932306141167	-0.207159180238376	-0.0247054320439569	107	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.78	-0.0687833928432852	-0.162244429930837	0.0246776442442662	107	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.79	-0.0417853094677902	-0.124182482793387	0.0406118638578065	102	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.79	-0.112324449168949	-0.2174254480788	-0.00722345025909814	102	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.8	-0.138688989689956	-0.247820482257932	-0.0295574971219806	97	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.8	-0.193014526802046	-0.337023717108578	-0.0490053364955135	97	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.81	-0.0802560462429252	-0.150824601448568	-0.00968749103728203	93	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.81	-0.120965401792195	-0.214534758107124	-0.0273960454772648	93	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.82	-0.0877954439756763	-0.228664941825024	0.0530740538736713	88	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.82	-0.31338510807123	-0.479780138918354	-0.146990077224107	88	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.83	-0.191907751913115	-0.340041220453399	-0.0437742833728318	83	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.83	-0.0549041959661719	-0.149420998484523	0.0396126065521792	83	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.84	-0.114329546538007	-0.194902688413851	-0.033756404662162	78	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.84	-0.0440652485739287	-0.126229343887589	0.0380988467397319	78	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.85	-0.0983006278090053	-0.19716264407928	0.00056138846126956	73	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.85	-0.209927344602511	-0.362483447428471	-0.0573712417765496	73	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.86	-0.0595725406472849	-0.148108488385047	0.0289634070904774	68	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.86	-0.0574804960467772	-0.227182918381556	0.112221926288002	68	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.87	-0.125317470729767	-0.262125564313343	0.0114906228538095	63	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.87	-0.274129116807605	-0.471399419080728	-0.0768588145344824	63	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.88	0.00439156221292643	-0.130448870908963	0.139231995334816	58	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.88	-0.0923946396061734	-0.20310653530101	0.0183172560886633	58	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.89	-0.0757337124593718	-0.220073675739104	0.0686062508203606	54	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.89	0.00739446393878175	-0.0962403105439535	0.111029238421517	54	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.9	-0.145156438319794	-0.290145695156481	-0.000167181483107792	49	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.9	-0.123856759597284	-0.283346636355734	0.0356331171611672	49	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.91	-0.207182084271218	-0.34321103399146	-0.0711531345509756	44	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.91	-0.0675170990939078	-0.172657907425196	0.0376237092373806	44	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.92	-0.205359606156218	-0.340705428003711	-0.0700137843087248	39	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.92	-0.0343023944470426	-0.176139922764537	0.107535133870452	39	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
