deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.02	-0.0827139683240563	-0.199319917946419	0.0338919812983065	119	na.omit	0.25	ROM
0.02	-0.146320229058548	-0.270632014154801	-0.0220084439622954	119	na.omit	0.25	ROM
0.03	-0.152646777068397	-0.281423916802984	-0.0238696373338114	117	na.omit	0.25	ROM
0.03	-0.0349527151325274	-0.123338386408609	0.0534329561435546	117	na.omit	0.25	ROM
0.04	-0.0254821614769078	-0.121757470198116	0.0707931472443006	116	na.omit	0.25	ROM
0.04	-0.122653597772526	-0.200733494587893	-0.04457370095716	116	na.omit	0.25	ROM
0.05	-0.160302827775293	-0.281841777163478	-0.0387638783871082	115	na.omit	0.25	ROM
0.05	-0.082507609121361	-0.165330307805624	0.000315089562902299	115	na.omit	0.25	ROM
0.06	-0.092221505399067	-0.204738834337164	0.0202958235390303	114	na.omit	0.25	ROM
0.06	-0.0665151272112848	-0.14381944442215	0.0107891899995802	114	na.omit	0.25	ROM
0.07	-0.0976735743079948	-0.1766103542053	-0.0187367944106892	113	na.omit	0.25	ROM
0.07	-0.0892513647820668	-0.172380878263915	-0.00612185130021832	113	na.omit	0.25	ROM
0.08	-0.146507755979806	-0.269004824538844	-0.0240106874207678	111	na.omit	0.25	ROM
0.08	-0.0980176137017609	-0.185504332200176	-0.0105308952033463	111	na.omit	0.25	ROM
0.09	-0.121029109042092	-0.223314653310495	-0.0187435647736888	110	na.omit	0.25	ROM
0.09	-0.113272692774211	-0.214172894544596	-0.0123724910038265	110	na.omit	0.25	ROM
0.1	-0.132707792826136	-0.262079963286582	-0.00333562236569046	109	na.omit	0.25	ROM
0.1	-0.14272383142666	-0.233208510040801	-0.0522391528125186	109	na.omit	0.25	ROM
0.11	-0.0793250014019784	-0.170042929830363	0.0113929270264066	108	na.omit	0.25	ROM
0.11	-0.103086466726012	-0.1868470750895	-0.0193258583625251	108	na.omit	0.25	ROM
0.12	-0.149535911272575	-0.244354183443813	-0.0547176391013375	106	na.omit	0.25	ROM
0.12	-0.110699850224741	-0.192778217090722	-0.0286214833587597	106	na.omit	0.25	ROM
0.13	-0.108819103743144	-0.19715952435195	-0.0204786831343377	105	na.omit	0.25	ROM
0.13	-0.0756690330639614	-0.166490456114908	0.0151523899869848	105	na.omit	0.25	ROM
0.14	-0.116017823662538	-0.212995318113285	-0.019040329211791	104	na.omit	0.25	ROM
0.14	-0.0389783520380577	-0.122402951857967	0.0444462477818513	104	na.omit	0.25	ROM
0.15	-0.0943640640912982	-0.190905092521796	0.00217696433919969	103	na.omit	0.25	ROM
0.15	-0.100287657373182	-0.170913385693359	-0.0296619290530039	103	na.omit	0.25	ROM
0.16	-0.0971815107062782	-0.190480400747563	-0.00388262066499327	102	na.omit	0.25	ROM
0.16	-0.120770907522261	-0.218498242518929	-0.0230435725255929	102	na.omit	0.25	ROM
0.17	-0.033843566114201	-0.121640244683602	0.0539531124552001	100	na.omit	0.25	ROM
0.17	-0.136102964728017	-0.236443048891694	-0.0357628805643399	100	na.omit	0.25	ROM
0.18	-0.2307249534952	-0.390118476542668	-0.0713314304477332	99	na.omit	0.25	ROM
0.18	-0.110817303488809	-0.208725467045178	-0.0129091399324393	99	na.omit	0.25	ROM
0.19	-0.143195243628324	-0.27355540836923	-0.0128350788874188	98	na.omit	0.25	ROM
0.19	-0.0868624392356821	-0.182289605231439	0.00856472676007508	98	na.omit	0.25	ROM
0.2	-0.0757151308531094	-0.18143199321925	0.0300017315130316	97	na.omit	0.25	ROM
0.2	-0.0253606430741339	-0.115879457934151	0.0651581717858831	97	na.omit	0.25	ROM
0.21	-0.108719520156313	-0.214742290937968	-0.00269674937465775	96	na.omit	0.25	ROM
0.21	-0.0442538137586876	-0.14196871391245	0.0534610863950745	96	na.omit	0.25	ROM
0.22	-0.0412035639904611	-0.133836508701474	0.0514293807205515	94	na.omit	0.25	ROM
0.22	-0.170365831375869	-0.273058084193688	-0.06767357855805	94	na.omit	0.25	ROM
0.23	-0.0981629266224007	-0.191540185464918	-0.00478566777988325	93	na.omit	0.25	ROM
0.23	-0.200640966150796	-0.339112891651616	-0.0621690406499753	93	na.omit	0.25	ROM
0.24	-0.14170003768924	-0.262826696735456	-0.0205733786430242	92	na.omit	0.25	ROM
