deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.02	-0.109103552779278	-0.23708427734023	0.0188771717816732	47	na.omit	0.1	ROM
0.02	-0.203210642406967	-0.338056668981073	-0.0683646158328608	47	na.omit	0.1	ROM
0.03	-0.0437852561549537	-0.193801111621083	0.106230599311176	47	na.omit	0.1	ROM
0.03	-0.197686941331991	-0.322628846180208	-0.0727450364837743	47	na.omit	0.1	ROM
0.04	-0.0782945608816773	-0.181500679829523	0.0249115580661684	46	na.omit	0.1	ROM
0.04	-0.2036417419309	-0.341207513988774	-0.0660759698730257	46	na.omit	0.1	ROM
0.05	-0.0977778529501044	-0.22893027484681	0.0333745689466008	46	na.omit	0.1	ROM
0.05	-0.0950239734269917	-0.268683373516577	0.0786354266625934	46	na.omit	0.1	ROM
0.06	-0.0192486391300742	-0.158713025171976	0.120215746911827	45	na.omit	0.1	ROM
0.06	-0.163627794415567	-0.287534462246893	-0.0397211265842408	45	na.omit	0.1	ROM
0.07	0.00229766411769165	-0.129026698220807	0.133622026456191	45	na.omit	0.1	ROM
0.07	-0.162201565423743	-0.28140324916433	-0.0429998816831559	45	na.omit	0.1	ROM
0.08	-0.0821417485281332	-0.238159579830007	0.0738760827737407	44	na.omit	0.1	ROM
0.08	-0.0812906692483592	-0.245656204898341	0.0830748664016224	44	na.omit	0.1	ROM
0.09	-0.262238397184266	-0.566981153763096	0.0425043593945641	44	na.omit	0.1	ROM
0.09	-0.133380938528739	-0.255337737491044	-0.0114241395664344	44	na.omit	0.1	ROM
0.1	-0.198705068465198	-0.361948557474778	-0.0354615794556193	43	na.omit	0.1	ROM
0.1	-0.115390347188787	-0.255801298881172	0.0250206045035982	43	na.omit	0.1	ROM
0.11	-0.0632776168106033	-0.210221921535327	0.0836666879141205	43	na.omit	0.1	ROM
0.11	-0.265537810409493	-0.530414010421293	-0.000661610397694246	43	na.omit	0.1	ROM
0.12	0.0489548766715538	-0.056483744189221	0.154393497532329	42	na.omit	0.1	ROM
0.12	-0.00883208633450258	-0.127626735357058	0.109962562688053	42	na.omit	0.1	ROM
0.13	-0.0226116264465046	-0.109767188279659	0.0645439353866503	42	na.omit	0.1	ROM
0.13	-0.180587105902361	-0.372258732884918	0.0110845210801963	42	na.omit	0.1	ROM
0.14	-0.149606514109421	-0.289891389009028	-0.00932163920981419	41	na.omit	0.1	ROM
0.14	-0.213087043483241	-0.388553860127898	-0.0376202268385845	41	na.omit	0.1	ROM
0.15	-0.0258713401091237	-0.12922883969181	0.0774861594735629	41	na.omit	0.1	ROM
0.15	-0.0681388449342948	-0.177416702282246	0.0411390124136566	41	na.omit	0.1	ROM
0.16	-0.0723207827188575	-0.179521089676892	0.0348795242391767	40	na.omit	0.1	ROM
0.16	-0.0788787921624241	-0.205935721173533	0.0481781368486849	40	na.omit	0.1	ROM
0.17	-0.122661889603648	-0.262957545247009	0.0176337660397128	40	na.omit	0.1	ROM
0.17	-0.299505856179964	-0.588134417297527	-0.0108772950623999	40	na.omit	0.1	ROM
0.18	-0.107412902706169	-0.265945972838619	0.0511201674262809	39	na.omit	0.1	ROM
0.18	-0.180820378657497	-0.37874621901447	0.0171054616994769	39	na.omit	0.1	ROM
0.19	0.0185083820278876	-0.0727288324761797	0.109745596531955	39	na.omit	0.1	ROM
0.19	-0.24598599799945	-0.468350720221628	-0.0236212757772715	39	na.omit	0.1	ROM
0.2	-0.195992459007695	-0.352037959497252	-0.0399469585181373	38	na.omit	0.1	ROM
0.2	0.00801102648570007	-0.146454347488265	0.162476400459665	38	na.omit	0.1	ROM
0.21	-0.197764639009008	-0.358375926842263	-0.0371533511757525	38	na.omit	0.1	ROM
0.21	-0.0584350652114072	-0.194345903515468	0.0774757730926535	38	na.omit	0.1	ROM
0.22	-0.0585031776485049	-0.229988708671122	0.112982353374113	37	na.omit	0.1	ROM
0.22	-0.0553900907714688	-0.232682871974232	0.121902690431294	37	na.omit	0.1	ROM
0.23	-0.0627604712513191	-0.181426383857813	0.0559054413551748	37	na.omit	0.1	ROM
0.23	0.0056531227604532	-0.148301262080973	0.15960750760188	37	na.omit	0.1	ROM
0.24	-0.0220041445367909	-0.14699908822972	0.102990799156139	36	na.omit	0.1	ROM
0.24	-0.0595765387709116	-0.3895312673013	0.270378189759477	36	na.omit	0.1	ROM
0.25	-0.432080588274547	-0.772875091433446	-0.0912860851156476	36	na.omit	0.1	ROM
0.25	-0.138601288371518	-0.280107158341624	0.00290458159858831	36	na.omit	0.1	ROM
0.26	-0.0771783444575509	-0.219987869545115	0.0656311806300134	36	na.omit	0.1	ROM
0.26	-0.0583004546825156	-0.26808470402381	0.151483794658778	36	na.omit	0.1	ROM
0.27	-0.0805364793048169	-0.193436786005999	0.0323638273963647	35	na.omit	0.1	ROM
0.27	-0.147470931819703	-0.377038046751405	0.0820961831119988	35	na.omit	0.1	ROM
0.28	0.0454837511778103	-0.123586996788035	0.214554499143656	35	na.omit	0.1	ROM
0.28	-0.162115527849743	-0.318336523921667	-0.00589453177782001	35	na.omit	0.1	ROM
0.29	-0.133046501379525	-0.281577632965387	0.0154846302063372	34	na.omit	0.1	ROM
0.29	-0.0722863660455801	-0.209646423785023	0.0650736916938631	34	na.omit	0.1	ROM
0.3	-0.0285725762776502	-0.199340476055517	0.142195323500216	34	na.omit	0.1	ROM
0.3	-0.0104502328012904	-0.156572763545881	0.1356722979433	34	na.omit	0.1	ROM
0.31	-0.0626245716815294	-0.180365100124783	0.0551159567617238	33	na.omit	0.1	ROM
0.31	-0.124404350881284	-0.302404426769909	0.0535957250073411	33	na.omit	0.1	ROM
0.32	-0.0644355973172441	-0.246695531577908	0.11782433694342	33	na.omit	0.1	ROM
0.32	-0.164356418149073	-0.324202741733725	-0.00451009456442111	33	na.omit	0.1	ROM
0.33	-0.135111060193829	-0.289541425497577	0.0193193051099179	32	na.omit	0.1	ROM
0.33	-0.0479802431812279	-0.163825041798179	0.0678645554357235	32	na.omit	0.1	ROM
0.34	-0.067346825935452	-0.279913551390204	0.1452198995193	32	na.omit	0.1	ROM
0.34	0.070660798289802	-0.0934528447023728	0.234774441281977	32	na.omit	0.1	ROM
0.35	-0.183925307716913	-0.373690251612268	0.00583963617844313	31	na.omit	0.1	ROM
0.35	-0.087111121370777	-0.199029777576974	0.0248075348354199	31	na.omit	0.1	ROM
0.36	-0.117411992196665	-0.512686032528879	0.277862048135548	31	na.omit	0.1	ROM
0.36	-0.176785640684935	-0.400021252085628	0.0464499707157574	31	na.omit	0.1	ROM
0.37	-0.205601301952448	-0.567457696392556	0.15625509248766	30	na.omit	0.1	ROM
0.37	-0.121379515632356	-0.336880637855761	0.0941216065910498	30	na.omit	0.1	ROM
0.38	0.00778980496306186	-0.139528685588415	0.155108295514539	30	na.omit	0.1	ROM
0.38	0.0997506601968308	-0.0212272316232723	0.220728552016934	30	na.omit	0.1	ROM
0.39	-0.154736585123566	-0.293451375870903	-0.01602179437623	29	na.omit	0.1	ROM
0.39	-0.154057499958192	-0.44375736074108	0.135642360824696	29	na.omit	0.1	ROM
0.4	-0.158879152890331	-0.264529793517392	-0.0532285122632713	29	na.omit	0.1	ROM
0.4	0.0727665351871484	-0.11633063552997	0.261863705904267	29	na.omit	0.1	ROM
0.41	-0.107964898167915	-0.336413933377838	0.120484137042008	28	na.omit	0.1	ROM
0.41	-0.230563289896835	-0.497244135645329	0.0361175558516595	28	na.omit	0.1	ROM
